id;cliente;accion_id;accion;operacion;precio;cantidad;fecha_operacion;modo
1;48469;32217;input synthesize Técnico;Marks Blanco;92349;77186;2023-11-16T03:23:41;Gran online
2;61547;80077;Ensalada;Lek Partida;3682;37759;2023-11-16T05:23:32;Heredado Account
3;81431;48005;deliverables;Partida;92332;54519;2023-11-16T08:12:44;Pequeño generate
4;67523;26851;neutral SDD Escalinata;Blanco;45390;9978;2023-11-16T08:20:23;proactive Práctico impactful
5;73672;4373;programming Cambridgeshire Mesa;Account wireless;54652;1194;2023-11-16T11:01:19;Juguetería generate Auto
6;34916;14750;multitarea Cambridgeshire;state Ergonómico;45698;6092;2023-11-15T15:24:02;matrix
7;88388;41634;móbil;hacking;85591;16047;2023-11-15T19:41:28;Sabroso
8;18225;11686;rich;copy;2268;69752;2023-11-16T02:41:30;Account
9;14956;19737;Decoración overriding SDR;SSL fritas;68318;51894;2023-11-16T01:29:11;Guapo niches
10;32249;83942;Money Moda Hormigon;Extremadura metódica;87239;89018;2023-11-16T08:53:25;schemas Raton Azul
