id;cliente;accion;operacion;precio;cantidad;fecha_operacion;modo
1;7620;below nucleotide;miserably romance;9857.83;8503;2023-11-13;ringworm briefly
2;2550;following zowie;dig;27814.38;17881;2023-11-13;roadway for vault
3;29769;though;atop than platform;782.78;5414;2023-11-13;whose experienced during
4;30178;justly angry;dear lest;1498.53;15632;2023-11-13;geez attorney helplessly
5;27616;clear gadzooks;grand defragment;23499.09;487;2023-11-13;smug shade
6;32737;yuck;trained oof;29319.48;22773;2023-11-13;afore
7;21255;unto yum;geez;12681.32;27417;2023-11-12;canst ferret ruling
8;1547;swat boo yahoo;yahoo confront derivative;30220.79;8757;2023-11-12;too
9;28586;exaggeration;although hmph formalise;10278.96;32295;2023-11-12;scoot grin
10;3499;vote nicely;psst;19170.24;32558;2023-11-12;meh formulate verbally
