id;cliente;accion;operacion;precio;cantidad;fecha_operacion;modo
1;11419;interfaz;Chad invoice utilización;36822;90292;2023-11-14T21:08:49;synergize Ladrillo
2;92659;Polarizado coherente indexing;innovative;32850;79481;2023-11-14T05:35:05;Persistente Coche Colonia
3;33784;Regional Hryvnia;payment nacional;18110;81312;2023-11-14T05:50:02;Consultor infrastructures models
4;44832;Artesanal Avon;Inversor;89261;84369;2023-11-14T16:04:08;mesh Jordania Muelle
5;67787;República Salchichas;Pescado enable Normas;23097;98897;2023-11-14T15:32:38;Masía Negro Negro
6;62685;intangible Bangladesh;content;19748;68331;2023-11-14T23:55:00;integrate alianza
7;53392;convergence;Blanco bluetooth;93908;15380;2023-11-14T12:23:39;Programa protocol Terrenos
8;81856;payment Enfocado haptic;facilitate;80302;31174;2023-11-14T04:14:59;payment Polarizado Operaciones
9;62238;application cutting-edge;generating;38332;57654;2023-11-14T20:33:42;Morado
10;1718;División override Sabroso;withdrawal Cambridgeshire Prolongación;21171;77493;2023-11-14T23:10:11;Comunidad virtual Región
